Paper_ID,Paper Title,Citations ,Cross Link Paper ID,Cited_Paper_ID
P01,The Promise and Perils of AI in Medicine,31,P04,P04
P01,The Promise and Perils of AI in Medicine,31,P13,P02
P01,The Promise and Perils of AI in Medicine,31,P14,P08
P01,The Promise and Perils of AI in Medicine,31,P12,P07
P01,The Promise and Perils of AI in Medicine,31,P07,P11
P01,The Promise and Perils of AI in Medicine,31,P02,P09
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P12,P03
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P13,P06
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P06,P13
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P11,P04
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P15,P07
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P07,P09
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P01,P15
P02,Social engineering in cybersecurity: a domain ontology and knowledge graph application examples,51,P05,P05
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P14,P04
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P01,P01
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P13,P10
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P11,P02
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P05,P09
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P04,P05
P03,Machine Learning in Business and Finance: A Literature Review and Research Opportunities,48,P12,P07
P04,SoK: Security and Privacy Risks of Medical AI,120,P02,P05
P04,SoK: Security and Privacy Risks of Medical AI,120,P05,P13
P04,SoK: Security and Privacy Risks of Medical AI,120,P15,P09
P04,SoK: Security and Privacy Risks of Medical AI,120,P07,P12
P04,SoK: Security and Privacy Risks of Medical AI,120,P08,P11
P04,SoK: Security and Privacy Risks of Medical AI,120,P09,P14
P04,SoK: Security and Privacy Risks of Medical AI,120,P06,P08
P05,XAI for Cybersecurity: State of the Art,95,P07,P10
P05,XAI for Cybersecurity: State of the Art,95,P08,P12
P05,XAI for Cybersecurity: State of the Art,95,P03,P08
P05,XAI for Cybersecurity: State of the Art,95,P10,P01
P05,XAI for Cybersecurity: State of the Art,95,P12,P09
P05,XAI for Cybersecurity: State of the Art,95,P01,P14
P05,XAI for Cybersecurity: State of the Art,95,P11,P04
P06,Advanced AI & Big Data Techniques in E-Finance,88,P10,P08
P06,Advanced AI & Big Data Techniques in E-Finance,88,P07,P10
P06,Advanced AI & Big Data Techniques in E-Finance,88,P04,P07
P06,Advanced AI & Big Data Techniques in E-Finance,88,P13,P09
P06,Advanced AI & Big Data Techniques in E-Finance,88,P05,P02
P06,Advanced AI & Big Data Techniques in E-Finance,88,P02,P12
P06,Advanced AI & Big Data Techniques in E-Finance,88,P11,P04
P07,AI in the Battle Against Coronavirus,140,P11,P08
P07,AI in the Battle Against Coronavirus,140,P14,P10
P07,AI in the Battle Against Coronavirus,140,P12,P01
P07,AI in the Battle Against Coronavirus,140,P10,P05
P07,AI in the Battle Against Coronavirus,140,P15,P03
P07,AI in the Battle Against Coronavirus,140,P13,P09
P07,AI in the Battle Against Coronavirus,140,P03,P13
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P01,P14
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P06,P06
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P11,P05
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P02,P03
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P13,P02
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P03,P07
P08,"Exploring the Impact of AI-Based Cyber Security Financial
Sector Management",143,P10,P15
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P04,P14
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P05,P08
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P12,P06
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P03,P02
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P07,P13
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P11,P03
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P13,P05
P09,"Explainable Artificial Intelligence (XAI) for Malware Analysis: A Survey of Techniques, Applications, and Open Challenges",20,P14,P10
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P14,P08
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P15,P11
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P07,P04
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P09,P01
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P01,P09
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P05,P13
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P12,P07
P10,Digital Health Policy and Cybersecurity Regulations Regarding Artificial Intelligence (AI,1,P03,P06
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P09,P13
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P13,P02
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P03,P07
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P10,P15
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P04,P04
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P02,P08
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P08,P06
P11,Knowledge Graphs and Semantic Web Tools in Cyber Threat Intelligence: A Systematic Literature Review,12,P12,P12
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P02,P14
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P06,P02
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P07,P15
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P03,P11
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P05,P05
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P08,P04
P12,Exploring the Role of Artificial Intelligence in Smart Healthcare: A Capability and Function-Oriented Review,14,P04,P10
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P10,P02
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P05,P03
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P07,P14
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P08,P07
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P15,P05
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P04,P09
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P09,P08
P13,Digital Transformation: A Systematic Review and Bibliometric Analysis from the Corporate Finance Perspective,15,P03,P06
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P08,P02
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P11,P08
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P13,P10
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P09,P15
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P07,P12
P14,Cybersecurity knowledge graphs construction and quality assessment,31,P10,P04
P15,AI for medicine 2025: Navigating the frontier,14,P14,P04
P15,AI for medicine 2025: Navigating the frontier,14,P08,P05
P15,AI for medicine 2025: Navigating the frontier,14,P01,P09
P15,AI for medicine 2025: Navigating the frontier,14,P03,P11
P15,AI for medicine 2025: Navigating the frontier,14,P06,P10
P15,AI for medicine 2025: Navigating the frontier,14,P12,P12
